<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260529,30,30,29.75,29.75,29940
AAPL03,20260529,3.4,3.42,3.38,3.38,5537
AAPL19,20260529,6.8,6.8,6.7,6.75,9998
AAPL80,20260529,10.1,10.2,10.1,10.1,442577
ABBV19,20260529,7.05,7.2,7.05,7.15,38130
ABNB06,20260529,4.28,4.4,4.28,4.4,9763
ADBE03,20260529,1.77,1.78,1.73,1.76,22490
ADBE06,20260529,1.99,1.99,1.94,1.99,2061353
ADVANT19,20260529,5.3,5.4,5.25,5.4,444013
ADVANT23,20260529,3.62,3.68,3.58,3.66,1424780
AFRM03,20260529,2.88,3.02,2.88,3.02,369128
AIA06,20260529,3.44,3.44,3.42,3.44,5417
AIA19,20260529,3.44,3.44,3.42,3.42,11190
AIA23,20260529,2.66,2.7,2.62,2.7,54164
AMD03,20260529,8.1,8.6,8.1,8.6,98321
AMD23,20260529,6.65,7.15,6.65,7.15,269388
AMD80,20260529,3.18,3.42,3.18,3.42,21394207
AMGN06,20260529,2.72,2.76,2.7,2.72,25782
AMZN01,20260529,26.25,26.25,25.75,25.75,82720
AMZN03,20260529,4.46,4.46,4.38,4.44,1881
AMZN06,20260529,2.22,2.24,2.2,2.2,955539
AMZN23,20260529,2.96,2.96,2.92,2.96,8796
AMZN80,20260529,2.22,2.24,2.18,2.22,3713408
ANET23,20260529,2.78,2.86,2.74,2.86,927233
ANTA23,20260529,1.94,1.99,1.94,1.97,81572
APLD03,20260529,5.45,5.5,5.05,5.45,4619988
APPL03,20260529,3.16,3.3,3.08,3.28,950368
ASEMI24,20260529,3.92,3.92,3.88,3.88,473692
ASICS23,20260529,2.94,2.98,2.94,2.94,412
ASML01,20260529,44.25,44.75,43.25,44.75,124290
ASTS03,20260529,4.08,4.34,3.86,3.9,17521186
AVGO23,20260529,3.12,3.22,3.08,3.2,800148
AVGO80,20260529,2.74,2.86,2.72,2.84,8534215
AXP06,20260529,2.56,2.58,2.52,2.58,172782
BABA01,20260529,11.5,11.8,11.4,11.4,56738
BABA06,20260529,5.05,5.15,5.05,5.1,20281
BABA13,20260529,2.16,2.18,2.14,2.14,52834
BABA23,20260529,3.38,3.46,3.28,3.32,1529096
BABA80,20260529,5.05,5.2,5,5.05,10179961
BAC03,20260529,3.34,3.38,3.3,3.34,72247
BDX06,20260529,1.62,1.62,1.57,1.61,264988
BIDU01,20260529,12.2,13,12,12.5,222824
BIDU06,20260529,5.3,5.7,5.3,5.45,164616
BIDU23,20260529,2.52,2.74,2.52,2.62,1355200
BIDU80,20260529,5.3,5.7,5.3,5.45,11996773
BILIBILI01,20260529,2.62,2.76,2.62,2.76,277154
BIREN23,20260529,10.2,10.6,9.8,10.3,1162156
BKNG03,20260529,2.3,2.32,2.28,2.3,18758
BKNG80,20260529,2.78,2.78,2.74,2.76,48733
BLK06,20260529,3.48,3.48,3.4,3.44,323423
BONDAS19,20260529,6.5,6.5,6.45,6.5,3300
BRKB80,20260529,1.57,1.58,1.55,1.57,1811109
BYDCOM01,20260529,0.85,0.88,0.85,0.87,1116307
BYDCOM80,20260529,0.38,0.39,0.37,0.38,17012040
CAMBRI80,20260529,6.6,6.6,6.25,6.35,1155747
CATL01,20260529,7.15,7.15,6.95,7.1,4410830
CATL23,20260529,12.4,12.6,12.1,12.5,324689
CATL80,20260529,31,32,30.5,31.5,1098274
CCJ23,20260529,2.2,2.28,2.16,2.28,398050
CEG23,20260529,2.34,2.36,2.3,2.34,635274
CHHONGQ19,20260529,11.9,11.9,11.6,11.8,611988
CHMOBILE19,20260529,3.54,3.58,3.54,3.58,147390
CHMOBILE23,20260529,2.74,2.76,2.72,2.76,290314
CHNXT5023,20260529,9.4,9.4,9.15,9.3,159044
CMBANK23,20260529,2.14,2.18,2.14,2.18,37119
CME03,20260529,3.06,3.06,3.04,3.04,16104
CN01,20260529,24.5,24.7,24.3,24.3,145603
CN23,20260529,6.2,6.25,6.15,6.15,782
CNBIO24,20260529,1.31,1.36,1.31,1.36,104038
CNEV24,20260529,2.44,2.44,2.38,2.4,25015
CNROBOAI23,20260529,2.76,2.78,2.7,2.74,266593
CNSEMI23,20260529,3.94,3.96,3.8,3.9,377140
CNSTAR5023,20260529,9.1,9.1,8.8,9.05,173826
CNTECH01,20260529,26,26.25,25.75,26,29449
COSTCO19,20260529,33.25,33.25,32.25,32.5,33382
CRM01,20260529,3.2,3.3,3.14,3.24,261390
CRM06,20260529,2.3,2.4,2.26,2.3,50983
CRM80,20260529,5.7,5.95,5.65,5.85,102957
CRSP03,20260529,3.46,3.74,3.44,3.7,298965
CRWD06,20260529,4.26,4.4,4.22,4.38,744212
CRWD80,20260529,21.3,22,21.1,22,200936
CRWV03,20260529,3.48,3.6,3.42,3.56,1945793
CSCO06,20260529,4.92,4.92,4.8,4.82,1127592
CYPC80,20260529,13.3,13.5,13.3,13.5,28254
DASH03,20260529,2.6,2.6,2.56,2.56,20576
DBS19,20260529,16,16.1,15.9,16,12309
DDOG19,20260529,7.7,7.75,7.3,7.4,626181
DELL19,20260529,10.5,14.7,10.2,14.3,8100618
DISNEY19,20260529,16.9,17,16.8,16.9,601
DUOL06,20260529,2.2,2.26,2.2,2.22,112878
E1VFVN3001,20260529,44,44.25,43.75,44,41224
EOSE03,20260529,1.45,1.51,1.42,1.48,23793694
ESTEE80,20260529,0.98,1,0.97,0.98,666404
EXPE06,20260529,3.04,3.04,2.98,2.98,1021
FANUC23,20260529,3,3.04,2.92,3.04,149288
FCX23,20260529,2.58,2.7,2.56,2.68,320739
FERRARI80,20260529,1.1,1.14,1.1,1.14,1156541
FPTVN11,20260529,1.79,1.8,1.79,1.79,74945
FPTVN19,20260529,9,9.05,8.95,9.05,173592
FUEVFVND01,20260529,44.25,44.5,44.25,44.25,9290
GAC03,20260529,2.14,2.18,2.14,2.18,2052
GANFENG23,20260529,2.7,2.7,2.66,2.7,124306
GASVN11,20260529,4.04,4.36,4.02,4.36,29400
GDS23,20260529,1.97,2.02,1.96,1.98,298993
GEELY06,20260529,3.08,3.14,3.08,3.14,24504
GEELY80,20260529,7.7,7.95,7.7,7.95,72749
GEV23,20260529,3.06,3.06,2.94,2.98,2875453
GIGA23,20260529,10.5,10.7,10.1,10.7,268068
GOLD03,20260529,3.38,3.4,3.38,3.4,401689
GOLD19,20260529,13.5,13.5,13.4,13.5,155852
GOLDUS03,20260529,3.32,3.4,3.3,3.4,123834
GOLDUS19,20260529,44,45.25,44,45,351449
GOOG23,20260529,3.14,3.16,3.12,3.14,433869
GOOG80,20260529,6.3,6.3,6.2,6.25,6682777
GOOGL01,20260529,37.5,37.5,37.25,37.5,150049
GOOGL03,20260529,6.35,6.4,6.3,6.35,14176
GRAB80,20260529,11.8,11.8,11.5,11.6,56260
GSUS06,20260529,4.66,4.74,4.62,4.72,22884
HAIERS19,20260529,8.05,8.2,8.05,8.2,72861
HANSOH19,20260529,5.15,5.25,5.1,5.25,62748
HERMES80,20260529,6.2,6.35,6.15,6.3,63058
HIMS03,20260529,4.12,4.22,4.04,4.2,734224
HK01,20260529,21,21.3,21,21.2,13016
HK13,20260529,5.6,5.65,5.6,5.65,6458
HKCE01,20260529,23.8,24.2,23.8,24.1,53818
HKEX23,20260529,2.14,2.16,2.12,2.12,87623
HKTECH13,20260529,4.06,4.12,4.02,4.04,138984
HONDA19,20260529,2.98,3.04,2.96,2.98,46907
HOOD03,20260529,2.48,2.8,2.46,2.8,730974
HOOD06,20260529,2.48,2.82,2.42,2.8,722859
HOOD80,20260529,2.44,2.82,2.42,2.8,1173659
HORIZON23,20260529,1.34,1.39,1.32,1.39,1643888
HPG19,20260529,3,3.02,3,3,19850
HSHD23,20260529,6.6,6.75,6.6,6.7,126008
HUAHONG23,20260529,10.1,10.1,9.5,9.75,1589299
IBM06,20260529,3.4,3.68,3.38,3.66,8938506
ICBC06,20260529,2.76,2.78,2.74,2.78,32360
ICBC19,20260529,2.76,2.78,2.72,2.78,256194
IFLYTEK80,20260529,2.34,2.34,2.34,2.34,1240
INDIA01,20260529,13.2,13.2,13.1,13.2,54782
INDIAESG19,20260529,4.02,4.08,4.02,4.04,443874
INTEL03,20260529,7.8,8.05,7.65,7.95,4228094
IONQ03,20260529,4.16,4.68,4.14,4.62,9559934
ISRG01,20260529,3.06,3.1,3.02,3.08,286101
ISRG06,20260529,2.74,2.78,2.72,2.76,216381
ISRG19,20260529,3.42,3.46,3.42,3.46,30040
ITOCHU19,20260529,6.65,6.7,6.65,6.7,8551
JAP03,20260529,3.64,3.68,3.64,3.68,5141
JAPAN10001,20260529,28.75,29.25,28.75,28.75,15108
JAPAN13,20260529,5.3,5.55,5.3,5.4,8539
JD80,20260529,4.68,4.8,4.68,4.68,300963
JDHEAL19,20260529,3.16,3.26,3.14,3.22,380817
JEPI19,20260529,6.2,6.2,6.1,6.15,1370807
JGRO19,20260529,10.7,10.8,10.7,10.7,1661
JNJ03,20260529,3.8,3.8,3.76,3.78,298898
JPMUS06,20260529,3.26,3.26,3.22,3.22,243572
JPMUS19,20260529,19.7,19.7,19.4,19.4,5422
JTEK19,20260529,11.5,11.7,11.5,11.7,8751
KEYENCE23,20260529,2.84,2.94,2.84,2.9,154733
KINGSOFT23,20260529,1.48,1.5,1.46,1.49,126671
KIOXIA23,20260529,8.2,8.45,8.1,8.35,380578
KO80,20260529,2.7,2.7,2.62,2.64,278900
KUAISH01,20260529,2.3,2.44,2.3,2.36,41908
KUAISH06,20260529,1.84,1.92,1.84,1.92,2350
KUAISH23,20260529,1.31,1.4,1.31,1.38,12941883
KUAISH80,20260529,1.84,1.97,1.83,1.9,6146377
LENOVO13,20260529,5.45,5.45,5.1,5.4,216177
LLY80,20260529,1.77,1.87,1.77,1.85,20626155
LOREAL80,20260529,1.47,1.49,1.46,1.48,157097
LPGOLD13,20260529,2.12,2.2,2.12,2.18,21812
LRCX23,20260529,4,4.04,3.9,4,424232
LULU06,20260529,2.18,2.18,2.08,2.14,55931
LVMH01,20260529,11.3,11.6,11.3,11.6,263026
MA80,20260529,1.62,1.62,1.59,1.61,1299977
MEITUAN19,20260529,1.01,1.05,1.01,1.03,273566
MEITUAN23,20260529,2,2,1.96,1.96,15
MEITUAN80,20260529,3,3.16,3,3.08,1886571
MELI06,20260529,2.22,2.24,2.18,2.2,556116
META01,20260529,6.1,6.15,6,6.1,903457
META06,20260529,2.6,2.64,2.58,2.6,1258953
