<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260527,30,30,29.5,29.5,17791
AAPL03,20260527,3.4,3.4,3.34,3.38,108102
AAPL19,20260527,6.8,6.8,6.7,6.75,51073
AAPL80,20260527,10.2,10.2,10,10,252664
ABBV19,20260527,7.05,7.05,6.9,7,134842
ABNB06,20260527,4.36,4.4,4.32,4.32,2318
ADBE03,20260527,1.78,1.78,1.74,1.76,486428
ADBE06,20260527,2,2,1.95,1.96,3240125
ADVANT19,20260527,5.7,5.75,5.45,5.65,1440846
ADVANT23,20260527,3.86,3.88,3.76,3.88,1839837
AFRM03,20260527,2.72,2.88,2.7,2.88,166307
AIA06,20260527,3.5,3.56,3.5,3.54,833
AIA19,20260527,3.52,3.54,3.52,3.54,16630
AIA23,20260527,2.72,2.76,2.7,2.72,9798
AMD03,20260527,7.95,8.4,7.95,8.35,144551
AMD23,20260527,6.55,6.95,6.55,6.95,382459
AMD80,20260527,3.14,3.36,3.14,3.34,41991029
AMGN06,20260527,2.78,2.78,2.76,2.76,2558
AMZN01,20260527,25.75,26,25.25,25.5,24061
AMZN03,20260527,4.38,4.38,4.3,4.36,397541
AMZN06,20260527,2.18,2.18,2.14,2.18,104508
AMZN23,20260527,2.92,2.92,2.86,2.9,34758
AMZN80,20260527,2.2,2.2,2.14,2.16,2313347
ANET23,20260527,2.9,2.92,2.8,2.9,1368304
ANTA13,20260527,1.92,1.92,1.86,1.87,5562
ANTA23,20260527,1.95,1.98,1.94,1.98,37026
APLD03,20260527,5.25,5.35,4.88,4.98,845982
APPL03,20260527,2.74,2.94,2.72,2.84,2105880
ASEMI24,20260527,3.96,4.04,3.88,3.98,2505108
ASICS23,20260527,2.82,2.82,2.82,2.82,50
ASML01,20260527,44.75,44.75,44,44.75,174067
ASTS03,20260527,3.72,4.22,3.66,4.22,14181490
AVGO23,20260527,3.12,3.22,3.12,3.14,274156
AVGO80,20260527,2.74,2.86,2.72,2.78,19076725
AXP06,20260527,2.56,2.64,2.54,2.56,696303
BABA01,20260527,11.9,11.9,11.7,11.8,119379
BABA06,20260527,5.25,5.25,5.2,5.25,15943
BABA13,20260527,2.22,2.22,2.18,2.2,82573
BABA23,20260527,3.48,3.48,3.4,3.42,5756501
BABA80,20260527,5.25,5.25,5.15,5.15,11039397
BAC03,20260527,3.44,3.44,3.42,3.42,67653
BDX06,20260527,1.6,1.63,1.6,1.61,92017
BIDU01,20260527,12.3,12.3,12.1,12.2,84745
BIDU06,20260527,5.35,5.4,5.3,5.3,40180
BIDU23,20260527,2.56,2.58,2.52,2.52,84669
BIDU80,20260527,5.4,5.4,5.25,5.3,3964362
BILIBILI01,20260527,2.7,2.76,2.66,2.7,213078
BIREN23,20260527,9.05,9.2,8.65,8.8,1030454
BKNG03,20260527,2.22,2.26,2.22,2.22,7057
BKNG80,20260527,2.64,2.72,2.64,2.68,472818
BLK06,20260527,3.52,3.52,3.48,3.48,24040
BONDAS19,20260527,6.5,6.5,6.4,6.45,4394
BRKB80,20260527,1.58,1.59,1.58,1.58,1811639
BYDCOM01,20260527,0.87,0.87,0.85,0.87,973252
BYDCOM80,20260527,0.39,0.39,0.37,0.38,15112735
CAMBRI80,20260527,6.6,6.7,6.3,6.35,1228907
CATL01,20260527,6.55,6.7,6.45,6.7,9523079
CATL23,20260527,11.5,11.7,11.5,11.7,280262
CATL80,20260527,28.75,29.25,28.75,29.25,322365
CCJ23,20260527,2.2,2.22,2.16,2.2,1100556
CEG23,20260527,2.44,2.54,2.42,2.46,2778675
CHHONGQ19,20260527,12.7,12.8,12.7,12.8,52000
CHMOBILE19,20260527,3.56,3.58,3.52,3.54,417815
CHMOBILE23,20260527,2.76,2.78,2.62,2.68,622431
CHNXT5023,20260527,9.25,9.35,9.1,9.3,58529
CMBANK23,20260527,2.12,2.16,2.1,2.16,29752
CME03,20260527,3.16,3.16,3.08,3.1,50882
CN01,20260527,24.6,24.6,24.2,24.3,25471
CN23,20260527,6.25,6.25,6.2,6.2,1088
CNBIO24,20260527,1.35,1.36,1.35,1.36,49382
CNEV24,20260527,2.44,2.46,2.42,2.42,259558
CNROBOAI23,20260527,2.9,2.9,2.78,2.86,114819
CNSEMI23,20260527,4.18,4.18,4,4.06,375169
CNSTAR5023,20260527,9.5,9.55,9.05,9.05,223324
CNTECH01,20260527,26.25,26.25,25.75,26,71922
COSTCO19,20260527,33.5,33.5,32.5,32.75,39953
